Student_ID,Target
362,Enrolled
3878,Graduate
2261,Graduate
1644,Graduate
4083,Enrolled
53,Enrolled
2468,Graduate
2480,Enrolled
3639,Graduate
2441,Dropout
351,Enrolled
3535,Dropout
572,Dropout
3046,Dropout
2881,Enrolled
202,Graduate
1559,Graduate
1206,Graduate
3315,Dropout
1012,Graduate
3946,Graduate
2318,Dropout
215,Graduate
3291,Dropout
27,Graduate
1704,Graduate
1336,Enrolled
2849,Graduate
986,Graduate
3829,Enrolled
3910,Dropout
1384,Graduate
4248,Graduate
55,Graduate
3815,Graduate
2857,Graduate
2454,Graduate
192,Enrolled
2214,Enrolled
1472,Enrolled
2680,Graduate
336,Graduate
2287,Graduate
581,Dropout
1524,Graduate
3242,Graduate
1692,Dropout
310,Dropout
2440,Dropout
1347,Graduate
839,Dropout
3213,Graduate
1837,Graduate
1786,Graduate
2340,Graduate
296,Graduate
1211,Dropout
1269,Dropout
3305,Graduate
866,Graduate
2683,Dropout
3269,Dropout
3634,Graduate
872,Dropout
227,Graduate
2805,Graduate
3832,Graduate
929,Dropout
3816,Graduate
3844,Dropout
1797,Graduate
3396,Graduate
486,Enrolled
1697,Graduate
2737,Graduate
838,Dropout
1251,Graduate
4348,Enrolled
1751,Dropout
177,Enrolled
3398,Graduate
3115,Graduate
301,Graduate
4421,Dropout
4351,Graduate
424,Graduate
3562,Graduate
1398,Graduate
1007,Graduate
3676,Graduate
744,Enrolled
4417,Graduate
4413,Enrolled
970,Enrolled
3251,Dropout
1458,Enrolled
3918,Graduate
1955,Enrolled
3926,Dropout
4307,Dropout
2292,Graduate
3777,Graduate
1070,Graduate
2749,Dropout
963,Graduate
1088,Graduate
3677,Dropout
1847,Enrolled
3060,Graduate
50,Graduate
3230,Enrolled
3824,Enrolled
4279,Graduate
3554,Graduate
807,Graduate
3642,Dropout
2197,Graduate
808,Dropout
2578,Dropout
3508,Graduate
39,Graduate
3106,Graduate
1003,Graduate
3459,Graduate
3648,Dropout
1140,Graduate
3466,Dropout
1172,Graduate
3519,Enrolled
1209,Dropout
3951,Enrolled
1940,Graduate
780,Graduate
2065,Graduate
2297,Dropout
996,Graduate
3565,Dropout
612,Graduate
3253,Dropout
3731,Graduate
745,Graduate
246,Graduate
4025,Dropout
1532,Graduate
2687,Enrolled
739,Graduate
3395,Enrolled
355,Dropout
2348,Graduate
2767,Graduate
4013,Dropout
735,Dropout
3288,Dropout
1673,Dropout
2812,Dropout
442,Enrolled
3937,Graduate
4340,Graduate
4317,Graduate
2122,Graduate
503,Dropout
4196,Enrolled
3734,Dropout
782,Enrolled
3083,Graduate
3930,Enrolled
3613,Enrolled
3358,Dropout
4287,Graduate
2963,Dropout
3640,Graduate
1546,Graduate
2552,Graduate
1600,Enrolled
3754,Graduate
3277,Dropout
1423,Graduate
86,Graduate
75,Enrolled
670,Graduate
3241,Graduate
483,Dropout
2679,Dropout
2606,Graduate
714,Graduate
3825,Enrolled
2291,Enrolled
290,Graduate
3412,Graduate
217,Graduate
2404,Graduate
431,Graduate
1046,Dropout
3298,Dropout
537,Dropout
2640,Graduate
653,Graduate
3578,Dropout
1455,Enrolled
2204,Graduate
1657,Graduate
1790,Graduate
4182,Dropout
3582,Enrolled
3571,Enrolled
892,Dropout
992,Graduate
2847,Dropout
3849,Dropout
3784,Graduate
3394,Graduate
3903,Graduate
3239,Graduate
3822,Dropout
2019,Graduate
154,Enrolled
294,Graduate
2568,Graduate
2783,Enrolled
2330,Dropout
1111,Graduate
2753,Dropout
2352,Graduate
2162,Dropout
3720,Dropout
77,Dropout
2601,Enrolled
4214,Dropout
3605,Graduate
4366,Graduate
1978,Graduate
2047,Dropout
2575,Graduate
2801,Graduate
458,Enrolled
3131,Graduate
555,Dropout
3626,Dropout
2245,Dropout
2070,Dropout
1762,Graduate
1396,Graduate
292,Graduate
783,Graduate
619,Graduate
1464,Enrolled
31,Graduate
1401,Graduate
4312,Enrolled
1664,Graduate
334,Graduate
2726,Enrolled
1071,Graduate
1539,Dropout
3439,Graduate
1486,Graduate
599,Graduate
1426,Graduate
681,Graduate
632,Dropout
4385,Dropout
1130,Graduate
157,Graduate
2549,Graduate
4022,Graduate
2198,Enrolled
19,Graduate
3558,Dropout
167,Dropout
1277,Graduate
2118,Graduate
1101,Graduate
2134,Graduate
1749,Dropout
2429,Dropout
3898,Graduate
3286,Graduate
58,Graduate
2860,Enrolled
2260,Graduate
2618,Graduate
1316,Graduate
779,Dropout
415,Graduate
2943,Graduate
2937,Dropout
731,Dropout
2145,Graduate
3600,Graduate
778,Graduate
1615,Graduate
1257,Graduate
1812,Graduate
2432,Graduate
3862,Dropout
943,Dropout
3238,Graduate
1675,Graduate
1096,Dropout
3463,Enrolled
206,Enrolled
1045,Graduate
1411,Dropout
4015,Graduate
4049,Graduate
1598,Graduate
3502,Dropout
1014,Dropout
1503,Graduate
1424,Graduate
3859,Dropout
1225,Graduate
624,Graduate
4019,Graduate
837,Enrolled
102,Graduate
3848,Dropout
1607,Graduate
655,Graduate
2493,Dropout
197,Graduate
1845,Graduate
3654,Graduate
2476,Dropout
2406,Graduate
388,Graduate
1344,Enrolled
1392,Graduate
1761,Graduate
1366,Dropout
906,Graduate
4318,Graduate
956,Dropout
2108,Graduate
2838,Graduate
2050,Graduate
821,Graduate
566,Graduate
928,Dropout
2199,Enrolled
57,Dropout
3588,Graduate
38,Enrolled
2055,Graduate
2856,Enrolled
3477,Graduate
4056,Enrolled
3003,Graduate
139,Graduate
2049,Graduate
3767,Graduate
746,Dropout
1389,Dropout
663,Graduate
3679,Graduate
1429,Enrolled
3525,Graduate
2792,Graduate
3098,Dropout
2516,Enrolled
1746,Enrolled
601,Dropout
3095,Dropout
3215,Graduate
683,Dropout
630,Graduate
2880,Enrolled
2862,Graduate
3763,Graduate
218,Dropout
98,Graduate
3998,Graduate
85,Graduate
1153,Enrolled
2829,Graduate
1883,Dropout
3214,Dropout
722,Graduate
2778,Graduate
1874,Dropout
1920,Graduate
3166,Graduate
2825,Enrolled
844,Graduate
2033,Enrolled
771,Graduate
1857,Graduate
1339,Graduate
1583,Dropout
3268,Graduate
3960,Graduate
2776,Graduate
3968,Dropout
42,Graduate
3725,Graduate
297,Graduate
1198,Dropout
4179,Graduate
2331,Dropout
3621,Graduate
926,Graduate
923,Enrolled
2247,Graduate
2321,Dropout
2179,Graduate
1823,Dropout
3327,Enrolled
967,Dropout
4342,Graduate
1561,Enrolled
4082,Graduate
115,Graduate
978,Graduate
2658,Graduate
1830,Graduate
886,Graduate
1405,Dropout
2036,Dropout
2700,Graduate
2750,Graduate
3104,Dropout
2659,Graduate
3876,Dropout
4199,Dropout
419,Graduate
1725,Graduate
4016,Enrolled
209,Graduate
485,Graduate
1687,Graduate
3223,Graduate
1925,Dropout
2138,Graduate
2398,Graduate
2611,Graduate
3350,Dropout
4140,Dropout
729,Graduate
1922,Graduate
4403,Graduate
1055,Graduate
3445,Dropout
2732,Graduate
430,Enrolled
1192,Graduate
2041,Dropout
1054,Graduate
1737,Graduate
1788,Enrolled
4119,Graduate
4231,Graduate
3867,Dropout
2092,Enrolled
1039,Graduate
1801,Enrolled
1272,Graduate
692,Graduate
2714,Graduate
800,Dropout
161,Graduate
151,Graduate
511,Dropout
22,Graduate
3059,Graduate
2374,Graduate
2500,Dropout
592,Enrolled
1182,Graduate
1171,Graduate
3668,Dropout
2137,Graduate
2190,Graduate
512,Dropout
760,Graduate
3246,Graduate
3014,Graduate
2690,Dropout
2075,Graduate
1337,Graduate
4218,Graduate
2807,Graduate
3685,Graduate
1087,Graduate
3924,Graduate
2283,Dropout
777,Graduate
1154,Enrolled
3380,Graduate
3886,Graduate
3488,Dropout
3733,Graduate
1844,Graduate
870,Graduate
3458,Graduate
622,Enrolled
2771,Graduate
1334,Dropout
3994,Dropout
3550,Graduate
1164,Graduate
3928,Dropout
3313,Graduate
187,Dropout
3628,Graduate
2029,Graduate
90,Dropout
169,Graduate
3221,Dropout
2485,Graduate
3390,Graduate
1145,Graduate
2716,Graduate
648,Graduate
4069,Graduate
3655,Graduate
183,Dropout
459,Graduate
3414,Dropout
2620,Graduate
1361,Dropout
3472,Graduate
3453,Graduate
370,Graduate
409,Graduate
4210,Graduate
1552,Enrolled
2248,Dropout
855,Dropout
1556,Graduate
2790,Graduate
1649,Graduate
840,Graduate
76,Enrolled
59,Graduate
1289,Graduate
3089,Graduate
2210,Dropout
417,Graduate
2928,Graduate
3945,Dropout
371,Graduate
1348,Enrolled
1551,Graduate
2644,Enrolled
4328,Dropout
3920,Graduate
2835,Enrolled
3591,Dropout
257,Graduate
3133,Graduate
4222,Graduate
96,Enrolled
1159,Graduate
3182,Dropout
3973,Graduate
1432,Dropout
385,Graduate
2473,Enrolled
3589,Graduate
1626,Dropout
1080,Graduate
922,Graduate
3416,Enrolled
363,Graduate
1512,Enrolled
3739,Graduate
2677,Dropout
3622,Graduate
3909,Graduate
1124,Graduate
3077,Enrolled
4397,Graduate
1612,Graduate
3698,Enrolled
3393,Graduate
665,Graduate
1265,Graduate
4038,Graduate
1816,Graduate
2434,Enrolled
1863,Dropout
920,Graduate
1002,Dropout
2414,Dropout
1775,Enrolled
1267,Graduate
697,Graduate
2505,Dropout
2400,Graduate
1018,Graduate
2229,Graduate
1280,Graduate
3647,Enrolled
2665,Graduate
3956,Dropout
178,Dropout
2707,Graduate
962,Graduate
4120,Enrolled
2983,Graduate
3357,Enrolled
3440,Dropout
3422,Dropout
216,Graduate
4326,Graduate
3403,Graduate
2063,Graduate
3964,Graduate
674,Graduate
3295,Graduate
74,Dropout
134,Dropout
1917,Graduate
2673,Dropout
1728,Enrolled
3016,Graduate
3922,Graduate
2839,Dropout
508,Graduate
724,Dropout
2608,Graduate
1108,Graduate
3129,Graduate
2804,Graduate
2813,Graduate
3883,Dropout
4377,Graduate
3715,Dropout
4313,Dropout
145,Graduate
1114,Enrolled
2295,Dropout
66,Enrolled
1006,Graduate
2413,Enrolled
2544,Dropout
3645,Graduate
2925,Graduate
3933,Graduate
1860,Dropout
907,Dropout
1578,Enrolled
1735,Dropout
850,Graduate
4014,Graduate
2723,Enrolled
3195,Graduate
3300,Dropout
2073,Graduate
3031,Dropout
291,Graduate
4011,Dropout
3209,Dropout
1250,Dropout
2666,Dropout
3081,Graduate
1684,Graduate
4323,Dropout
3368,Graduate
4191,Dropout
344,Graduate
4078,Dropout
3100,Dropout
816,Enrolled
3434,Graduate
1861,Dropout
1351,Graduate
2369,Dropout
2447,Graduate
4335,Graduate
2192,Dropout
1168,Graduate
3797,Graduate
1814,Graduate
1635,Graduate
1803,Graduate
3787,Graduate
2969,Graduate
3979,Graduate
1107,Graduate
1032,Dropout
3309,Graduate
4190,Enrolled
2816,Graduate
287,Graduate
464,Graduate
3609,Graduate
2207,Dropout
2112,Graduate
1638,Graduate
4162,Dropout
3105,Graduate
2085,Graduate
2782,Dropout
2233,Dropout
190,Graduate
2408,Dropout
3135,Enrolled
2397,Dropout
2717,Dropout
1507,Enrolled
1623,Dropout
3151,Dropout
1740,Dropout
2727,Graduate
1902,Graduate
3272,Graduate
2556,Enrolled
1893,Dropout
1571,Graduate
3179,Graduate
168,Dropout
3785,Dropout
3352,Enrolled
4292,Graduate
3204,Enrolled
3481,Graduate
3927,Graduate
3004,Graduate
4063,Graduate
2940,Dropout
3101,Graduate
2594,Graduate
2158,Graduate
2323,Dropout
1624,Graduate
1677,Dropout
1560,Graduate
2887,Graduate
356,Graduate
4195,Dropout
4004,Graduate
1894,Graduate
3210,Enrolled
3264,Graduate
3326,Dropout
1204,Enrolled
951,Graduate
3646,Graduate
4003,Graduate
568,Dropout
3544,Dropout
2920,Dropout
1811,Graduate
4374,Graduate
500,Graduate
443,Graduate
2990,Graduate
4167,Enrolled
3722,Dropout
1350,Graduate
1784,Enrolled
4221,Dropout
541,Graduate
2399,Graduate
71,Dropout
4228,Graduate
3276,Enrolled
3381,Dropout
447,Graduate
2902,Dropout
937,Dropout
200,Enrolled
2874,Graduate
3094,Graduate
1469,Graduate
1982,Graduate
1988,Dropout
4052,Graduate
1069,Graduate
3741,Graduate
2144,Graduate
4045,Graduate
1670,Graduate
3897,Dropout
4128,Graduate
3890,Graduate
243,Graduate
1676,Dropout
1120,Graduate
3779,Enrolled
853,Graduate
3606,Enrolled
3641,Graduate
1744,Dropout
123,Graduate
689,Graduate
1249,Dropout
4170,Dropout
1757,Graduate
733,Graduate
2508,Graduate
2221,Graduate
642,Enrolled
289,Graduate
1910,Graduate
309,Graduate
1519,Graduate
81,Enrolled
668,Graduate
3173,Enrolled
1021,Graduate
2193,Dropout
2576,Graduate
2692,Graduate
4277,Dropout
894,Dropout
3099,Graduate
1437,Enrolled
253,Graduate
3936,Enrolled
471,Graduate
4414,Dropout
1409,Dropout
2711,Graduate
93,Dropout
2876,Graduate
3735,Graduate
3335,Graduate
918,Dropout
4372,Graduate
3638,Dropout
3873,Graduate
3838,Dropout
1777,Graduate
1151,Graduate
4393,Graduate
2725,Enrolled
2597,Graduate
1440,Graduate
1406,Dropout
3996,Dropout
3971,Graduate
3700,Dropout
384,Graduate
2298,Graduate
3935,Dropout
2565,Graduate
3931,Graduate
259,Graduate
432,Enrolled
2691,Enrolled
2106,Dropout
1659,Graduate
1736,Graduate
2966,Graduate
3853,Enrolled
563,Dropout
3191,Dropout
2254,Dropout
3249,Graduate
1562,Enrolled
1200,Graduate
1970,Graduate
1885,Dropout
3190,Graduate
1619,Graduate
1402,Graduate
4225,Graduate
3175,Graduate
4113,Graduate
3409,Dropout
4174,Graduate
3184,Enrolled
4084,Graduate
2107,Enrolled
891,Graduate
69,Graduate
1345,Graduate
3260,Graduate
324,Enrolled
331,Dropout
1297,Dropout
634,Enrolled
797,Graduate
550,Graduate
3310,Dropout
774,Graduate
732,Graduate
3172,Dropout
2910,Dropout
1750,Graduate
2234,Dropout
1207,Graduate
3250,Graduate
2046,Graduate
4268,Graduate
977,Graduate
567,Dropout
451,Graduate
3919,Enrolled
3590,Dropout
3955,Enrolled
4151,Graduate
4416,Dropout
3351,Graduate
831,Graduate
1592,Graduate
618,Graduate
4132,Graduate
2569,Graduate
404,Enrolled
1969,Dropout
3030,Graduate
678,Enrolled
706,Enrolled
2165,Graduate
3160,Enrolled
1399,Enrolled
4171,Dropout
3680,Graduate
1732,Dropout
1407,Graduate
4033,Graduate
1573,Dropout
3285,Enrolled
3798,Dropout
1381,Graduate
1136,Dropout
700,Enrolled
1057,Graduate
1541,Graduate
1052,Graduate
709,Graduate
2237,Enrolled
3122,Graduate
2635,Dropout
1865,Dropout
2842,Graduate
1760,Graduate
2815,Graduate
684,Dropout
1509,Graduate
2974,Enrolled
2577,Enrolled
4359,Dropout
1829,Dropout
1821,Dropout
3907,Graduate
2991,Enrolled
2948,Graduate
633,Graduate
1376,Graduate
1733,Enrolled
316,Graduate
3483,Dropout
2968,Dropout
3132,Graduate
2223,Enrolled
1957,Enrolled
4353,Graduate
2206,Enrolled
3097,Graduate
3145,Graduate
659,Graduate
3943,Enrolled
1534,Enrolled
1614,Dropout
2871,Graduate
393,Graduate
3111,Graduate
149,Graduate
2939,Enrolled
4109,Graduate
465,Enrolled
4034,Enrolled
598,Dropout
1681,Enrolled
3275,Dropout
3581,Graduate
940,Dropout
245,Graduate
4062,Graduate
748,Graduate
